Rating,Title,Comment,Length,Scores,Compound,Sentiment_Score,Rating_to_Sentiment
1,cheap efficient safety issue,air asia cheap efficient limited leg room taller people think thought carefully safety issue related hot seat policy called hot seat include front row emergency exit row expensive often empty flight nobody exit row even worse staff sometimes put tray table flight prevent people sitting emergency seat emergency would delay anyone getting exit emergency fact one open emergency door quickly mean would serious delay every second count getting plane sit near middle plane also often seen people would obviously incapable opening emergency door need also picked thrown event emergency friend mine sitting one one flight air asia staff courage right ask people move international safety regulator look instead leaving empty upgrade suitable people pay seat offer emergency exit seat would help ensure quick opening exit emergency wonder anyone emergency exit seat air asia flight crashed indonesia case probably made difference case might finally airasia still using plastic cutlery age awareness single use plastic reusable utensil,875,"{'neg': 0.229, 'neu': 0.654, 'pos': 0.117, 'compound': -0.9501}",-0.9501,negative,negative
1,beware mistake scam,refused boarding due air asia ticketing error attempted contact air asia customer support get rectified despite air asia big loyalty program member year unable get rectified air asia mistake deny liability repeated attempt get customer support useless cannot speak anyone forced use automated response ineffective confusing frustrating manage get allstars chat program communicating texting voice staff unhelpful combative sometimes rude come air asia get act together guest detail booking page need updated reflect current ticketing requirement customer support system need total overhaul support staff need educated unless take care customer job wondering exactly many people experience must highly profitable paid money flight fly people year flying air asia entire family warn people situation shame air asia,697,"{'neg': 0.191, 'neu': 0.652, 'pos': 0.157, 'compound': -0.2328}",-0.2328,negative,negative
1,aweful totally disappointed,aweful totally disappointed worse nothing waste money useless personal try everything problem nothing help,93,"{'neg': 0.481, 'neu': 0.328, 'pos': 0.191, 'compound': -0.7944}",-0.7944,negative,negative
5,would book,happy service airasia charles robert c bulilan unbelievably quick professional kind moving earlier flight,92,"{'neg': 0.0, 'neu': 0.599, 'pos': 0.401, 'compound': 0.8107}",0.8107,positive,positive
1,help booking cancelled without refund,help booking cancelled without refund terrible experience lastminute com wanted change date flight neither lastminute com airline felt responsible able help talked total representative referred one side never learned theoretically possible change date fee cancelled ticket refund initially contacted lastminute com change date referred airline thai airasia lastminute help talking different airline customer representative told lastminute change date went back lastminute told airline airline told lastminute get idea help blaming side would fine someone would told change booking instead trapped hamster wheel without getting answer,549,"{'neg': 0.104, 'neu': 0.725, 'pos': 0.171, 'compound': 0.7054}",0.7054,positive,negative
1,really care customer,really care customer listen concern solve really care customer hope every cx waiting reply flight got cancelled th november pnr hrjh flight pune srinager got board pune soon reahed delhi airaisa official announced flight get delay hour bad weather srinager hour new announcement came flight got cancelled raised concern airaisa manager delhi airport people cancelled flight wait hour speechless told announcement higher official funny part approached cx care said process r refund ticket price r got transferred manager manager answer simply disconnect call wish people read comment alart flight get cancelled dont let manager go fight arranging new flight get refund spot let go big fraudesters scam airline nowadays cancel flight initiate little amount,641,"{'neg': 0.159, 'neu': 0.69, 'pos': 0.151, 'compound': 0.2365}",0.2365,positive,negative
1,aisasia worst airline,aisasia one worst airline extremely bad temper ugly manner malay treat customer like rubbish airline black face malay lack basic manner airline staff would bark shout especially asian avoid low class airline cost,180,"{'neg': 0.426, 'neu': 0.472, 'pos': 0.102, 'compound': -0.9475}",-0.9475,negative,negative
1,rude amp unprofessional staff bintulu,rude unprofessional staff bintulu airport silo nomi used f word conversation customer wanted lodge complaint told go ahead lodge complaint normal u staff patience inexperienced handling customer issue low eq apology customer proper channel address customer issue loyal customer however kind staff manner intolerable proper action taken best low cost airline world joke proven low quality well management total failure year improvement made customer service compared airline airasia getting worse disappointing,439,"{'neg': 0.272, 'neu': 0.532, 'pos': 0.196, 'compound': -0.7506}",-0.7506,negative,negative
1,horrible customer service,horrible customer service james,28,"{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.5423}",-0.5423,negative,negative
1,worst,worst flew twice twice non dangerous good removed main luggage good sentimental value top ground staff terrible even bullied booking another flight never entire life would thought thing,158,"{'neg': 0.315, 'neu': 0.416, 'pos': 0.269, 'compound': -0.6249}",-0.6249,negative,negative
5,bought ticket thailand day ago,bought ticket thailand day ago service great mean like even wait bought online though maybe internet connection really great people said site always price really cheap wait buy ticket online celebrate new year,177,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.9371}",0.9371,positive,positive
1,bother saying u sale,bother saying u sale rd nov site time,30,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.34}",-0.34,negative,negative
3,worst possible booking experience positive outcome,update long odyssey actually able get good solution airasia extremely cumbersome process want acknowledge fact ended supporting u also overall transportation well organised got u destination thanks original post worst possible booking experience even worse customer service booked connection got different one confirmed attempted several time get touch customer service allstar service connection deliberately interrupted problem neglected even though reproducible frustrating waste much time traveling recommend avoid whenever possible one star probably already much,494,"{'neg': 0.237, 'neu': 0.566, 'pos': 0.197, 'compound': -0.7128}",-0.7128,negative,neutral
